image_path,bbox_indices
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000000,"2,3,4"
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000003,"1,2"
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000005,6
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000008,3
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000009,4
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000010,2
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000024,1
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000034,4
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000035,1
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000044,0
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000046,3
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000048,0
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000054,1
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000060,1
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000064,"1,2"
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000068,0
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000069,0
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000078,2
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000084,4
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000085,0
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000086,"1,3"
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000087,2
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000088,4
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000092,4
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000093,2
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000099,1
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000101,6
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000102,4
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000103,"2,3,4,6"
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000104,"3,6"
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000105,4
23_05_2025 19_59_59 (UTC+03_00)_processed_fr20_10_197_21_23_frame_000106,"1,7"
