image_path,bbox_indices
-1x-12_jpg.rf.27606f889620379749b80d1c08109c76,"0,1,2"
-1x-12_jpg.rf.6dd435ef3822b69e73d12559e749884c,"2,3,4"
04_jpg.rf.0fb001619b25da83f2dcf9b3ddd066e3,"0,1"
05da0655-22a7-4ae3-acb0-46df20bcf6e3_jpeg_jpg.rf.d74491e7cb116c8d185f723afa93a88f,1
1068_jpg.rf.a7095303eabf58447f3c933021ecb0cb,0
1077_flickr_jpg.rf.60b787dc34a377ac96cf392ad98de365,0
1078_flickr_jpg.rf.387256d006c99b1198bfe58def8e9b19,0
109809_jpg.rf.49a6766e1659053be99401ae3cfbf77d,0
1121_jpg.rf.8b147e1246623994f7d751ab709de080,0
1134_flickr_jpg.rf.6d403d4c96a4e4dad2604f484d63e8df,1
1205_jpg.rf.99b82d895057e64ccd637c7562397ff3,0
1205_jpg.rf.99b82d895057e64ccd637c7562397ff3_rotated,0
1206_jpg.rf.955a923e7c81eb2c87ffbb3611630a45,0
120_jpg.rf.78a5b0d5e7ae740924444f3f40f071f5,0
1212_jpg.rf.a1828ce49e7f4dfcc3d01e3207d998f8,0
1212_jpg.rf.a1828ce49e7f4dfcc3d01e3207d998f8_rotated,0
1230_jpg.rf.4144e92996ed570a2e9be504f3a762bf_rotated,0
1242_flickr_jpg.rf.5735c573b2e1201e7b4f3dbdceac1a6f,0
1247_jpg.rf.7c89ee198fb32fa52321cd45f1222582,0
1247_jpg.rf.7c89ee198fb32fa52321cd45f1222582_rotated,0
1279_flickr_jpg.rf.27c577fbbddb3cda6327b80bbf131ee3,0
1281_jpg.rf.19e75d637c9e17a2fac72d6d23f96704_rotated,0
1282_flickr_jpg.rf.2a0b5160f50e0a515eeb3a860cb1484c,1
1290_jpg.rf.9dfe826f5ccb66240617cfe3f4cab877_rotated,0
1318_jpg.rf.229d9b7782cbf638e59afd833eb07741,0
1318_jpg.rf.229d9b7782cbf638e59afd833eb07741_rotated,0
149_jpg.rf.aeee161581de970d22d12276c2a08653,0
149_jpg.rf.aeee161581de970d22d12276c2a08653_rotated,0
1518041_jpg.rf.281fcc50b5c492fc77820ce5ac05bc77,1
15241e712f9559a3643dbc09e6e1bdb6_jpg.rf.a37ef4f1735ab8999c8a8d954878adae,0
15241e712f9559a3643dbc09e6e1bdb6_jpg.rf.a37ef4f1735ab8999c8a8d954878adae_rotated,0
1592_jpg.rf.dd73076a42ecc254126c2da69a1b6413,"0,1"
1600_jpg.rf.7d64b2ec0cf22a6246cba02a62c72d13,0
1707_flickr_jpg.rf.b5a549df8f62b18966b28f20d38356b5,0
1722_flickr_jpg.rf.578be06f7ca62452e3430bc717e8c6af,0
1722_flickr_jpg.rf.578be06f7ca62452e3430bc717e8c6af_rotated,0
1727_png.rf.d48eba76ecdb7374fd0272ed90685dd1,1
1738_png.rf.5e8a0784e445df3b00c3057d9e346576,1
1746_flickr_jpg.rf.122789845f762d32cd246f2701690383,0
1841_flickr_jpg.rf.71235d27138ef140d9cd44207045d268,0
1862_flickr_jpg.rf.7f98901695475bbaf902b7363283b12e,0
1_3658_jpg.rf.fcf600ee49fbbdf506dd3dbac69a6028,0
1_3658_jpg.rf.fcf600ee49fbbdf506dd3dbac69a6028_rotated,0
1gp1CT4L2xu1Zcs6ABF8ApA_jpeg.rf.c27c64c88ef648ee6d1feb27cb961823,0
212402-20180710-bird-ride-scooters03_jpg.rf.ea59adb634d2aa6747ab0c74071ec11f,"0,1"
2173_flickr_jpg.rf.a6b6f4e2fac7a4b03d76069d99f2a91b,0
2208_flickr_jpg.rf.efbcf920f123f27f4c8050554f468d28_rotated,0
2274_flickr_jpg.rf.ecd79688b8977e639547627bd15eaba9,0
2625_flickr_jpg.rf.5777e45f3b088191d72737c9b18bf1bc,0
264_flickr_jpg.rf.97d8e98fec2ad13ec16ffb9945990b6d,0
293_flickr_jpg.rf.6180f269c5887362ea42cba8704a6ed3,2
299_jpg.rf.8c1d5b2b71f1903583eea7537d9757b5,"0,8"
306_flickr_jpg.rf.1a8dd5da2c3ab25f0311f0e00591f69a,"0,2"
327_jpg.rf.51b81ba9ef0205298eb99212152590a6,0
34_jpg.rf.710baf283652e8ea9db25625f1625ad9_rotated,0
36-_jpg.rf.92bc1d972b903a1789dff4ffdf431089,0
369_flickr_jpg.rf.208d296324c1895d23c521b8aae0c1d1_rotated,0
376_jpg.rf.2c47c4a619ad0e6e967eb5d27d03883e,"3,6,7"
3_jpg.rf.18de3583cefe60bd8b0112130d751084,0
3c637d49-895c-458b-ab35-620e2e8da523_jpeg_jpg.rf.1e8c8816b88084d9ccbc9927fe8f8c9c,0
429_jpg.rf.2be36e8eb9fc96834cccdb8fe10987dc,0
452_jpg.rf.a35c10a70922a7fc443a3de0089626fb,0
464_jpg.rf.d0fa0169fe60bbe651f853137d82b86a,0
509_jpg.rf.6bf38e738ea3b11fb04ff606a18bc98b,0
551_jpg.rf.8e7d4c100487929d29a82daef35cc49d,0
557_flickr_jpg.rf.a0b8e670fd0e4b7b1bbb793451cfe124,0
557_flickr_jpg.rf.a0b8e670fd0e4b7b1bbb793451cfe124_rotated,0
624f44a3ba645-image_jpg.rf.6e20e5c61d35fce839a9ae5b939effd4,"3,4,5"
636612826912249492-Bird-Scooter-PNG_jpg.rf.8271c775786d86b0903f7675bf388692,0
636612826912249492-Bird-Scooter-PNG_jpg.rf.8271c775786d86b0903f7675bf388692_rotated,0
638_flickr_jpg.rf.4570dd51413651f275400641d71126b0,0
653_flickr_jpg.rf.c8c69ad11382c1c375d7bd4efb9a3e3b,0
659_flickr_jpg.rf.24d8770da61e016e69e3dbdfb3857a29,0
694_jpg.rf.d26ec612b8fe2f736834f5b8e4da373f,0
6d69ef42-df7c-49e5-9ab2-f0783b136269_jpeg.rf.c7b28ef40e91224604d61401b269b9f9,0
724_jpg.rf.2da4bcdcb9589ca916d6e82bbd48a11a,0
724_jpg.rf.2da4bcdcb9589ca916d6e82bbd48a11a_rotated,0
72_jpg.rf.293be60ceec3839e46bce0a8fab43f1e,0
730_jpg.rf.643aa7c55c847aaf72966ece5975e680_rotated,0
765_jpg.rf.09c91c80fd8faedf0c88606399a48c61_rotated,0
7cc6a505-b86e-4021-bdf6-aece6ae4322d-_R7R5803_jpeg.rf.1465b96c85fd9824bc167b0163499a01,"2,4,5"
7cfb5f06-540e-4e03-b5da-fd3344046cd3_jpeg_jpg.rf.d0abb7ee5abe958c4645977faac41405,0
7mYbbcGGkYdikNXt3F5hrk-1200-80-jpg_jpg.rf.b9737ba1dcae623ff1ab746a585eb154_rotated,0
8181_jpg.rf.140c044ee0a40f84b5d0cc4be810322a,0
81_jpg.rf.0378098bee78e834d7e884bdc4b0d6ae,0
888_jpg.rf.13660dbae937125a7f3d50b6b03bad5e_rotated,0
897_jpg.rf.17a7341fd6aa15972a72aa2ce7d7f710,0
904_jpg.rf.e87f49a7674d792b6d0a28a53161b677,1
92_flickr_patinete_jpg.rf.dcaa52e3972241f437813a0bf91ec218,0
93_png.rf.d4b511d4c127b53c770ee8578c279f48,1
950bc3c8-27ed-4963-beb5-048582834ca1_367s_46bda8da-036a-4efc-9033-284691330bf1_jpeg_jpg.rf.5311dea05de4f5c73183d14ebcc8ac03,0
985_jpg.rf.2217fad891f39a69003f952f4860ab96_rotated,0
99_jpg.rf.ede36645d2994ccafb14631e34769673,0
Bird-Rides-Inc_018_350466_jpg.rf.c2d0f426e4cd9ec264eed0ed3ddd7f70,"0,1"
Bird-Zero-header_jpg.rf.d5c41470b8a35e001b78eee0a85fb714,0
Bird_png.rf.d3e3bdc87a223c94124c999733ae9145,"0,1"
Columbus_electric_scooters_jpg.rf.16ca5035c085edbb5db3c497f1ee3974,"1,5,6"
KakaoTalk_20240507_225707274_12_jpg.rf.d53bde894646b9efa0c291fb8311c81a,2
KakaoTalk_20240507_225707274_15_jpg.rf.2adbc0dfbce42b3df5aed5ea36691eee,0
KakaoTalk_20240507_233028664_04_jpg.rf.20ac6c9eb4856123a3effd0d08f58bf7,"1,5"
KakaoTalk_20240507_233028664_05_jpg.rf.cea3e9ba685adeb1140ce83f2cd54273,"0,1,2,3,4,5"
KakaoTalk_20240507_233028664_jpg.rf.69a8dd3a388a96711c915dd46ad48a2c,"0,1"
KakaoTalk_20240518_151607180_24_jpg.rf.063ec0ce9ced8de3fb820c020a1f0aef,0
KakaoTalk_20240518_152017497_01_jpg.rf.ee35a8ed648210e6921a8d78bb1de1e7,0
Lime-NYC-1_jpg.rf.135639f151cdeca0e2e437c4ae7392c1,"0,1"
Lime-S_Scooters_jpg.rf.cdf0ee7e85f56e11ad5a8993ab081bbe,0
M0115_jpg.rf.50795847cd7accbbfbd8ecb830531fe7_rotated,0
M0190_jpg.rf.b3b490acbfa2c749b89e443ed148fcfb,0
M0192_jpg.rf.06ce0c90bc34228fd05e503387bf79d0,0
M0192_jpg.rf.06ce0c90bc34228fd05e503387bf79d0_rotated,0
M0210_jpg.rf.c478dc4b63b4fd39c2b16d7009ae016a,0
M029_jpg.rf.23462c86125f15d187a6ae06230ba93b,0
M076_jpg.rf.4badcc12f9a3f538f6e579ebc4cf52d0,3
MOBILITY_180829886_AR_0_AMQBZDMDOYVC_jpg.rf.59c0c2d2dd066691b238e39defd3b436,1
N263FBMZNR7TSHK0Y3ZL_jpg.rf.3fbc19a434e1d87a0e1bfaff601972f6,2
Pariste-elektrikli-scooter-kullanimi-yasaklandi_02_jpg.rf.192ee2356ae31cf68c3ff72e6cfc40ec,"0,2,8"
VkuRoVw8hHdsBEDszGA2rT-1200-80-jpg_jpg.rf.444507526915bf4703b2aa9e46316027,0
WEB_TRANSLINK_LIME_jpg.rf.6cf9f62037b02a2c2ba7875429680aa6,"0,1"
World-s-Best-Pro-Scooter-Riders-in-Boston-in-8K-_mp4-0006_jpg.rf.fd109f7df74c01be136ab39d47f93959,0
World-s-Best-Pro-Scooter-Riders-in-Boston-in-8K-_mp4-0038_jpg.rf.af84ce65f306eb12304fdffb7d5c2370,2
YUKtu51R6g_jpg.rf.6e7352e29fcec2f7ca4a41d5bd7488aa,0
b1ed22e9-55e1-49a8-82bb-bb50bfa5aa4c_jpeg_jpg.rf.945f208c23a542a30818e66d7502dcce_rotated,0
binbin-kullanicilarina-ucretsiz-sigorta-yapacak3_jpg.rf.d973075d1be04e51968f4aa1e04e0c63,"4,5"
bird-e-scooter-design_dezeen_sq_jpg.rf.713cd276ca6f41439cdaf7f5aac17835,0
bird-e-scooters-queen-elizabeth-olympic-park-copyright-simon-macmichael_jpeg.rf.3d93061bcfbed55405f44c478edee669,2
boy-2863983_1280_jpg.rf.72a9374badbab54f1eb55cc62c50a3c2_rotated,0
cevreci-ulasim-araci-marti-scooterlar-sakaryada_jpg.rf.7275b67d6b0a931709ac1d0288a4d6da,0
db8a72f1-64db-485c-aadd-e15dea158a0c_gux9_3057ace7-9945-48be-8db8-7d170de55a70_jpeg_jpg.rf.96deda4c9bdc77f794f6531990683d2d_rotated,0
dreamstime_xxl_257807526-scaled_jpg.rf.ed81f2b32e3d4c14717bdc83fb98feb4,1
e1827cd3-b3e6-4564-a5a6-a3d396ecb1b7-IMG_8007_jpg.rf.db06f8d644d10b15e1894fb7f1fae3d1,"0,1,2,3"
ee74baf6-9af2-4848-9290-67ff35ae6721_ygg3_35b9cd92-e5e2-4e53-b440-22e3cc9c011d_jpeg_jpg.rf.d7cb5f24438e1088f2bef2a704cfe1a4_rotated,0
